,project_id,boro,managing_agcy,orig_bud_amt,city_plan_total,noncity_plan_total,starting_delta,ending_delta,total_cost,cost_delta,costStatus,startStatus,endStatus,city_pct,noncity_pct,majority_funder,budget_usage
5289,P-307BLOP,MANHATTAN,DEPT OF PARKS AND RECREATION,6138,5915.31,0.0,0,0,5915.31,-222.6899999999996,Under Budget,On Time,On Time,1.0,0.0,city,-0.0362805474095796
5290,P-307BMAP,MANHATTAN,DEPT OF PARKS AND RECREATION,400,1985.0,0.0,0,37,1985.0,1585.0,Over Budget,On Time,Late,1.0,0.0,city,3.9625
5291,P-307FDBB,MANHATTAN,DEPT OF PARKS AND RECREATION,678,3550.0,0.0,0,0,3550.0,2872.0,Over Budget,On Time,On Time,1.0,0.0,city,4.23598820058997
5292,P-307MPSP,MANHATTAN,DEPT OF PARKS AND RECREATION,130,100.0,0.0,0,0,100.0,-30.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.23076923076923078
5293,P-307RIVP,MANHATTAN,DEPT OF PARKS AND RECREATION,19411,19411.0,0.0,0,0,19411.0,0.0,On Target,On Time,On Time,1.0,0.0,city,1.0
5294,P-307RIVR,MANHATTAN,DEPT OF PARKS AND RECREATION,200,7090.0,0.0,0,0,7090.0,6890.0,Over Budget,On Time,On Time,1.0,0.0,city,34.45
5295,P-307RPAF,MANHATTAN,DEPT OF PARKS AND RECREATION,326,250.0,0.0,0,0,250.0,-76.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.2331288343558282
5296,P-307RPKP,MANHATTAN,DEPT OF PARKS AND RECREATION,810,405.0,0.0,0,0,405.0,-405.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.5
5297,P-307RPKS,MANHATTAN,DEPT OF PARKS AND RECREATION,10496,4189.0,1279811.05,0,4,1284000.05,1273504.05,Over Budget,On Time,Late,0.00326246093214716,0.9967375390678528,non_city,121.33232183689024
5298,P-307RPPI,MANHATTAN,DEPT OF PARKS AND RECREATION,6485,7949.0,0.0,0,5,7949.0,1464.0,Over Budget,On Time,Late,1.0,0.0,city,0.22575173477255203
5299,P-307RPRP,MANHATTAN,DEPT OF PARKS AND RECREATION,810,863.0,0.0,0,0,863.0,53.0,Over Budget,On Time,On Time,1.0,0.0,city,0.0654320987654321
5300,P-307RPSB,MANHATTAN,DEPT OF PARKS AND RECREATION,2280,109.0,189910.0,0,0,190019.0,187739.0,Over Budget,On Time,On Time,0.0005736268478415316,0.9994263731521584,non_city,82.34166666666667
5301,P-307RPTH,MANHATTAN,DEPT OF PARKS AND RECREATION,500,2608.0,0.0,0,3,2608.0,2108.0,Over Budget,On Time,Late,1.0,0.0,city,4.216
5302,P-307RS91,MANHATTAN,DEPT OF PARKS AND RECREATION,1501,1501.0,0.0,-33,-32,1501.0,0.0,On Target,Early,Early,1.0,0.0,city,1.0
5303,P-307RVSD,MANHATTAN,DEPT OF PARKS AND RECREATION,10058,14879.0,19305.0,0,62,34184.0,24126.0,Over Budget,On Time,Late,0.4352621109290896,0.5647378890709104,non_city,2.398687611851263
5304,P-307SAPO,MANHATTAN,DEPT OF PARKS AND RECREATION,870,1875.0,0.0,0,24,1875.0,1005.0,Over Budget,On Time,Late,1.0,0.0,city,1.1551724137931034
5305,P-307SASM,MANHATTAN,DEPT OF PARKS AND RECREATION,76647,62275.0,0.0,0,0,62275.0,-14372.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.18750896969222539
5306,P-307SBPG,MANHATTAN,DEPT OF PARKS AND RECREATION,3180,3180.0,0.0,0,0,3180.0,0.0,On Target,On Time,On Time,1.0,0.0,city,1.0
5307,P-307SOLB,MANHATTAN,DEPT OF PARKS AND RECREATION,600,811.0,0.0,0,0,811.0,211.0,Over Budget,On Time,On Time,1.0,0.0,city,0.3516666666666667
5308,P-307STGR,MANHATTAN,DEPT OF PARKS AND RECREATION,1200,1636.0,0.0,0,24,1636.0,436.0,Over Budget,On Time,Late,1.0,0.0,city,0.36333333333333334
5309,P-307TDRV,MANHATTAN,DEPT OF PARKS AND RECREATION,215,200.0,0.0,-11,-11,200.0,-15.0,Under Budget,Early,Early,1.0,0.0,city,-0.06976744186046512
5310,P-307TRDR,MANHATTAN,DEPT OF PARKS AND RECREATION,300,1009.0,0.0,0,45,1009.0,709.0,Over Budget,On Time,Late,1.0,0.0,city,2.3633333333333333
5311,P-307VER1,MANHATTAN,DEPT OF PARKS AND RECREATION,695,635.0,0.0,0,0,635.0,-60.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.08633093525179857
5312,P-308AG02,MANHATTAN,DEPT OF PARKS AND RECREATION,713,753.0,0.0,0,0,753.0,40.0,Over Budget,On Time,On Time,1.0,0.0,city,0.056100981767180924
5313,P-308AG03,MANHATTAN,DEPT OF PARKS AND RECREATION,1665,1665.0,0.0,0,0,1665.0,0.0,On Target,On Time,On Time,1.0,0.0,city,1.0
5314,P-308AGDO,MANHATTAN,DEPT OF PARKS AND RECREATION,272,200.0,0.0,0,0,200.0,-72.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.2647058823529412
5315,P-308AGEE,MANHATTAN,DEPT OF PARKS AND RECREATION,738,738.0,0.0,70,70,738.0,0.0,On Target,Late,Late,1.0,0.0,city,1.0
5316,P-308AGFB,MANHATTAN,DEPT OF PARKS AND RECREATION,1130,669.0,0.0,0,0,669.0,-461.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.4079646017699115
5317,P-308AGPF,MANHATTAN,DEPT OF PARKS AND RECREATION,108,108.0,0.0,129,226,108.0,0.0,On Target,Late,Late,1.0,0.0,city,1.0
5318,P-308AGPO,MANHATTAN,DEPT OF PARKS AND RECREATION,0,140.0,0.0,0,0,140.0,140.0,Over Budget,On Time,On Time,1.0,0.0,city,140.0
5319,P-308CSPC,MANHATTAN,DEPT OF PARKS AND RECREATION,3614,2780.0,0.0,0,0,2780.0,-834.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.23076923076923078
5320,P-308CSPG,MANHATTAN,DEPT OF PARKS AND RECREATION,2848,4099.0,0.0,0,6,4099.0,1251.0,Over Budget,On Time,Late,1.0,0.0,city,0.4392556179775281
5321,P-308CSPP,MANHATTAN,DEPT OF PARKS AND RECREATION,364,300.0,0.0,0,0,300.0,-64.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.17582417582417584
5322,P-308CTHN,MANHATTAN,DEPT OF PARKS AND RECREATION,665,565.0,0.0,0,0,565.0,-100.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.15037593984962405
5323,P-308EPOA,MANHATTAN,DEPT OF PARKS AND RECREATION,15000,15200.0,0.0,0,0,15200.0,200.0,Over Budget,On Time,On Time,1.0,0.0,city,0.013333333333333334
5324,P-308EREI,MANHATTAN,DEPT OF PARKS AND RECREATION,1450,2620.0,0.0,0,4,2620.0,1170.0,Over Budget,On Time,Late,1.0,0.0,city,0.8068965517241379
5325,P-308ERP2,MANHATTAN,DEPT OF PARKS AND RECREATION,8366,11759.0,0.0,0,0,11759.0,3393.0,Over Budget,On Time,On Time,1.0,0.0,city,0.4055701649533827
5326,P-308ERP3,MANHATTAN,DEPT OF PARKS AND RECREATION,74350,71737.0,0.0,0,0,71737.0,-2613.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.035144586415601885
5327,P-308FFCA,MANHATTAN,DEPT OF PARKS AND RECREATION,325,325.0,0.0,0,0,325.0,0.0,On Target,On Time,On Time,1.0,0.0,city,1.0
5328,P-308FFHM,MANHATTAN,DEPT OF PARKS AND RECREATION,150,185.0,0.0,0,0,185.0,35.0,Over Budget,On Time,On Time,1.0,0.0,city,0.23333333333333334
5329,P-308GMBR,MANHATTAN,DEPT OF PARKS AND RECREATION,966,914.0,0.0,0,0,914.0,-52.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.053830227743271224
5330,P-308GMGL,MANHATTAN,DEPT OF PARKS AND RECREATION,200,562.0,0.0,0,0,562.0,362.0,Over Budget,On Time,On Time,1.0,0.0,city,1.81
5331,P-308GMRD,MANHATTAN,DEPT OF PARKS AND RECREATION,1272,1136.0,0.0,0,0,1136.0,-136.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.1069182389937107
5332,P-308GRA1,MANHATTAN,DEPT OF PARKS AND RECREATION,926,995.36,0.0,0,0,995.36,69.36000000000001,Over Budget,On Time,On Time,1.0,0.0,city,0.07490280777537799
5333,P-308HNYL,MANHATTAN,DEPT OF PARKS AND RECREATION,1920,2081.0,0.0,-23,-23,2081.0,161.0,Over Budget,Early,Early,1.0,0.0,city,0.08385416666666666
5334,P-308JJAD,MANHATTAN,DEPT OF PARKS AND RECREATION,1270,1050.0,0.0,0,0,1050.0,-220.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.1732283464566929
5335,P-308JJPK,MANHATTAN,DEPT OF PARKS AND RECREATION,50,748.0,0.0,0,29,748.0,698.0,Over Budget,On Time,Late,1.0,0.0,city,13.96
5336,P-308MHM2,MANHATTAN,DEPT OF PARKS AND RECREATION,300,3535.0,0.0,0,0,3535.0,3235.0,Over Budget,On Time,On Time,1.0,0.0,city,10.783333333333333
5337,P-308MHMR,MANHATTAN,DEPT OF PARKS AND RECREATION,598,926.0,0.0,0,-2,926.0,328.0,Over Budget,On Time,Early,1.0,0.0,city,0.5484949832775919
5338,P-308RPCS,MANHATTAN,DEPT OF PARKS AND RECREATION,4840,4000.0,0.0,0,0,4000.0,-840.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.17355371900826447
5339,P-308SCPP,MANHATTAN,DEPT OF PARKS AND RECREATION,0,7050.0,0.0,0,0,7050.0,7050.0,Over Budget,On Time,On Time,1.0,0.0,city,7050.0
5340,P-308SPCS,MANHATTAN,DEPT OF PARKS AND RECREATION,2040,2114.0,0.0,-14,-13,2114.0,74.0,Over Budget,Early,Early,1.0,0.0,city,0.03627450980392157
5341,P-308STCP,MANHATTAN,DEPT OF PARKS AND RECREATION,460,7775.0,72000.0,0,0,79775.0,79315.0,Over Budget,On Time,On Time,0.09746161078031965,0.9025383892196803,non_city,172.42391304347825
5342,P-309AHAM,MANHATTAN,DEPT OF PARKS AND RECREATION,0,1825.0,0.0,0,0,1825.0,1825.0,Over Budget,On Time,On Time,1.0,0.0,city,1825.0
5343,P-309ANUN,MANHATTAN,DEPT OF PARKS AND RECREATION,300,382.0,7500.0,2,0,7882.0,7582.0,Over Budget,Late,On Time,0.048464856635371735,0.9515351433646283,non_city,25.273333333333333
5344,P-309B125,MANHATTAN,DEPT OF PARKS AND RECREATION,500,2050.0,0.0,0,0,2050.0,1550.0,Over Budget,On Time,On Time,1.0,0.0,city,3.1
5345,P-309JRFA,MANHATTAN,DEPT OF PARKS AND RECREATION,390,518.0,0.0,0,0,518.0,128.0,Over Budget,On Time,On Time,1.0,0.0,city,0.3282051282051282
5346,P-309JRRC,MANHATTAN,DEPT OF PARKS AND RECREATION,4000,4780.0,0.0,0,0,4780.0,780.0,Over Budget,On Time,On Time,1.0,0.0,city,0.195
5347,P-309JSPL,MANHATTAN,DEPT OF PARKS AND RECREATION,300,1322.0,0.0,0,20,1322.0,1022.0,Over Budget,On Time,Late,1.0,0.0,city,3.4066666666666667
5348,P-309JSST,MANHATTAN,DEPT OF PARKS AND RECREATION,760,1938.0,0.0,0,0,1938.0,1178.0,Over Budget,On Time,On Time,1.0,0.0,city,1.55
5349,P-309LBPG,MANHATTAN,DEPT OF PARKS AND RECREATION,4200,4200.0,0.0,0,0,4200.0,0.0,On Target,On Time,On Time,1.0,0.0,city,1.0
5350,P-309MOR2,MANHATTAN,DEPT OF PARKS AND RECREATION,1000,3835.13,0.0,0,36,3835.13,2835.13,Over Budget,On Time,Late,1.0,0.0,city,2.83513
5351,P-309MPMP,MANHATTAN,DEPT OF PARKS AND RECREATION,1450,4612.0,0.0,0,6,4612.0,3162.0,Over Budget,On Time,Late,1.0,0.0,city,2.1806896551724138
5352,P-309MPP1,MANHATTAN,DEPT OF PARKS AND RECREATION,9800,9800.0,0.0,0,0,9800.0,0.0,On Target,On Time,On Time,1.0,0.0,city,1.0
5353,P-309MSSC,MANHATTAN,DEPT OF PARKS AND RECREATION,6300,6300.0,0.0,0,0,6300.0,0.0,On Target,On Time,On Time,1.0,0.0,city,1.0
5354,P-309P123,MANHATTAN,DEPT OF PARKS AND RECREATION,4200,3555.0,0.0,0,0,3555.0,-645.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.15357142857142858
5355,P-309RBUS,MANHATTAN,DEPT OF PARKS AND RECREATION,2000,2104.0,79639.0,-89,21,81743.0,79743.0,Over Budget,Early,Late,0.025739207026901387,0.9742607929730986,non_city,39.8715
5356,P-309RPK1,MANHATTAN,DEPT OF PARKS AND RECREATION,0,2300.0,0.0,0,0,2300.0,2300.0,Over Budget,On Time,On Time,1.0,0.0,city,2300.0
